code_pathologie;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;annee
Pathologie, traitement ou événement de santé;Effectif;Total des dépenses;Total soins de ville;Soins de médecins ;Soins infirmiers;Soins de kinésithérapie;Autres professionnels de santé;Médicaments;Autres produits de santé;Biologie;Transports;Autres dépenses de soins de ville;Total hospitalisations;dont hospitalisations MCO;Total prestations en espèces;dont indemnités journalières maladie et AT/MP;2015
Traitements anxiolytiques (hors pathologies);3219700;2441115000;1353246000;424230000;93060000;116399000;74107000;437584000;108545000;62003000;27224000;10093000;111394000;0;976475000;584849000;2016
Traitements hypnotiques (hors pathologies);1616600;1197408000;717159000;210072000;62633000;65050000;35459000;225613000;67032000;29361000;14237000;7702000;48033000;0;432216000;193678000;2016
Démences (dont maladie d'Alzheimer);750900;2390764000;1656918000;56517000;955544000;199624000;61834000;90688000;173554000;10892000;107389000;877000;700410000;179992000;33436000;871000;2016
Maladie de Parkinson;261700;976820000;756691000;36069000;199222000;134423000;21807000;205844000;97017000;5406000;54240000;2664000;165918000;60397000;54211000;6565000;2016
Sclérose en plaques;105000;1237432000;818610000;23131000;38656000;47249000;6802000;586602000;60865000;5948000;48634000;724000;230045000;139956000;188777000;21457000;2016
Lésion médullaire;90900;676599000;359000000;11931000;69610000;40912000;2616000;17491000;168018000;2198000;45655000;568000;137782000;34094000;179817000;26992000;2016
Myopathie ou myasthénie;45800;251979000;132565000;5450000;11634000;20220000;2143000;38489000;35368000;1291000;17767000;206000;80013000;52922000;39401000;4803000;2016
Épilepsie;470300;730791000;376474000;40175000;27320000;16145000;22156000;189004000;33821000;6659000;40799000;394000;240496000;180876000;113821000;28395000;2016
Autres affections neurologiques;156200;768633000;462856000;15897000;60011000;75695000;13091000;54861000;161507000;2640000;78325000;829000;220377000;105757000;85400000;11662000;2016
Maladies respiratoires chroniques (hors mucoviscidose);3587700;3635905000;2099763000;466275000;35878000;83229000;109178000;1066884000;239648000;52235000;36994000;9441000;1150812000;790723000;385330000;164330000;2016
Maladies inflammatoires chroniques intestinales;246200;851491000;414904000;34095000;5454000;4106000;7802000;321481000;16243000;15253000;9752000;718000;366486000;346344000;70102000;30200000;2016
Polyarthrite rhumatoïde ou maladies apparentées;273700;901108000;602149000;49620000;33504000;23042000;7883000;414814000;18913000;24698000;25587000;4089000;176272000;146633000;122686000;30155000;2016
Spondylarthrite ankylosante ou maladies apparentées;195000;828364000;518511000;34585000;5024000;25981000;5922000;415229000;7380000;10860000;10449000;3081000;159608000;129356000;150246000;49061000;2016
Autres maladies inflammatoires chroniques;197700;414608000;191872000;29475000;11386000;12564000;5750000;84392000;12902000;17127000;16491000;1786000;161523000;125992000;61213000;15727000;2016
Maladies métaboliques héréditaires ou amylose;111100;468798000;268782000;12021000;5258000;3978000;4574000;209366000;17760000;5243000;10087000;495000;183201000;169051000;16816000;5583000;2016
Mucoviscidose;8300;251460000;217449000;682000;6336000;14983000;285000;172989000;16088000;266000;5806000;12000;32117000;26274000;1894000;427000;2016
Hémophilie ou troubles de l'hémostase graves;48100;557642000;475897000;5090000;5992000;1184000;1309000;451645000;4284000;3382000;2812000;198000;72500000;64980000;9245000;4626000;2016
infection par le VIH;143800;1505198000;1338840000;11250000;2089000;1777000;4063000;1295571000;6182000;14907000;2872000;129000;118515000;65110000;47843000;10899000;2016
Dialyse chronique;49900;3159968000;866537000;11089000;58773000;3857000;318000;99673000;18297000;17855000;656541000;135000;2271580000;2243657000;21851000;4139000;2016
Transplantation rénale;3300;224609000;56251000;525000;943000;43000;51000;30267000;1185000;1889000;21340000;8000;161382000;155386000;6976000;3749000;2016
Suivi de transplantation rénale;35900;468574000;244179000;5624000;3692000;840000;796000;187981000;5167000;9318000;30674000;89000;183690000;163348000;40705000;3101000;2016
Maladies du foie ou du pancréas (hors mucoviscidose);570300;1965288000;1255074000;56905000;14953000;9323000;12609000;1078327000;23568000;36646000;21670000;1073000;542825000;457615000;167389000;55857000;2016
Affections de longue durée (dont 31 et 32) pour d'autres causes;1643400;3147614000;2551321000;197614000;309085000;181395000;73143000;1045392000;419293000;51386000;262562000;11451000;248522000;127098000;347772000;84664000;2016
Hospitalisation pour Covid-19;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;2016
